,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
33,2014-12-27,19,24-142,STL,,DAL,L,L,4,24,20,.833,0,0,58:58
34,2015-01-10,20,24-156,STL,,CAR,W,W,1,20,19,.950,0,0,51:58
35,2015-01-13,21,24-159,STL,,EDM,W,W,2,15,13,.867,0,0,60:00
36,2015-01-30,22,24-176,STL,@,CAR,W,W,2,28,26,.929,0,0,65:00
37,2015-02-05,23,24-182,STL,@,BUF,W,W,0,23,23,1.000,1,0,60:00
38,2015-02-06,24,24-183,STL,@,CBJ,L,,3,19,16,.842,0,0,31:34
39,2015-02-10,25,24-187,STL,,ARI,W,W,1,26,25,.962,0,0,60:00
40,2015-02-17,26,24-194,STL,,DAL,L,,1,16,15,.938,0,0,51:22
41,2015-02-20,27,24-197,STL,,BOS,W,W,1,27,26,.963,0,0,60:00
42,2015-02-24,28,24-201,STL,,MTL,L,L,5,23,18,.783,0,0,59:42
43,2015-03-01,29,24-206,STL,@,VAN,L-SO,O,4,25,21,.840,0,0,58:43
44,2015-03-15,30,24-220,STL,@,DAL,W,W,0,28,28,1.000,1,0,60:00
45,2015-03-21,31,24-226,STL,@,MIN,L,,2,12,10,.833,0,0,35:55
46,2015-03-22,32,24-227,STL,@,DET,L-OT,O,2,25,23,.920,0,0,60:00
47,2015-03-24,33,24-229,STL,@,PIT,W,W,2,26,24,.923,0,0,60:35
48,2015-04-02,34,24-238,STL,,CGY,W,W,1,18,17,.944,0,0,60:00
49,2015-04-05,35,24-241,STL,@,CHI,W,W,1,39,38,.974,0,0,60:00
50,2015-04-07,36,24-243,STL,,WPG,L,L,1,31,30,.968,0,0,58:34
51,2015-04-09,37,24-245,STL,,CHI,W,W,1,22,21,.955,0,0,60:00
52,2015-10-10,1,25-064,STL,@,MIN,L,L,3,19,16,.842,0,0,58:42
53,2015-10-16,2,25-070,STL,@,VAN,W,W,3,34,31,.912,0,0,60:00
54,2015-10-20,3,25-074,STL,@,MTL,L,L,3,36,33,.917,0,0,60:00
55,2015-10-27,4,25-081,STL,,TBL,W,W,0,26,26,1.000,1,0,60:00
56,2015-10-29,5,25-083,STL,,ANA,W,W,1,23,22,.957,0,0,60:00
57,2015-10-31,6,25-085,STL,,MIN,W,W,2,31,29,.935,0,0,64:26
58,2015-11-03,7,25-088,STL,,LAK,L,L,2,33,31,.939,0,0,57:26
59,2015-11-04,8,25-089,STL,@,CHI,W,W,1,28,27,.964,0,0,46:51
60,2015-11-07,9,25-092,STL,@,NSH,W,W,0,45,45,1.000,1,0,60:00
61,2015-11-10,10,25-095,STL,@,NJD,W,W,0,24,24,1.000,1,0,59:57
62,2015-11-12,11,25-097,STL,@,NYR,L,,3,5,2,.400,0,0,14:38
63,2015-11-14,12,25-099,STL,,CHI,L,L,3,26,23,.885,0,0,59:05
64,2015-11-16,13,25-101,STL,,WPG,W,W,2,18,16,.889,0,0,60:00
65,2015-11-19,14,25-104,STL,,BUF,W,W,2,34,32,.941,0,0,65:00
66,2015-11-21,15,25-106,STL,,DET,L-OT,O,4,32,28,.875,0,0,64:36
67,2015-11-23,16,25-108,STL,@,BUF,W,W,1,25,24,.960,0,0,60:00
68,2015-11-25,17,25-110,STL,@,PIT,L-OT,O,4,34,30,.882,0,0,61:03
69,2015-11-28,18,25-113,STL,,CBJ,W,W,1,24,23,.958,0,0,60:00
70,2015-12-01,19,25-116,STL,,FLA,L,L,3,15,12,.800,0,0,40:00
71,2015-12-05,20,25-120,STL,,TOR,L,L,4,29,25,.862,0,0,57:42
72,2015-12-08,21,25-123,STL,,ARI,W,W,1,23,22,.957,0,0,59:44
73,2015-12-12,22,25-127,STL,,DAL,W,W,0,26,26,1.000,1,0,59:55
74,2015-12-13,23,25-128,STL,,COL,L,L,2,17,15,.882,0,0,58:59
75,2015-12-15,24,25-130,STL,@,WPG,W,W,3,36,33,.917,0,0,60:00
76,2015-12-17,25,25-132,STL,,NSH,W,W,1,28,27,.964,0,0,59:44
77,2015-12-21,26,25-136,STL,@,PHI,L,L,4,31,27,.871,0,0,58:41
78,2015-12-22,27,25-137,STL,@,BOS,W,W,0,32,32,1.000,1,0,59:49
79,2015-12-26,28,25-141,STL,,DAL,W,W,2,24,22,.917,0,0,65:00
80,2015-12-29,29,25-144,STL,,NSH,W,W,3,33,30,.909,0,0,64:01
81,2015-12-31,30,25-146,STL,,MIN,L,L,2,28,26,.929,0,0,58:12
82,2016-01-02,31,25-148,STL,@,TOR,L,L,3,32,29,.906,0,0,58:01
83,2016-01-06,32,25-152,STL,@,COL,L-OT,O,4,33,29,.879,0,0,64:43
84,2016-01-08,33,25-154,STL,@,ANA,L-SO,,1,12,11,.917,0,0,27:03
85,2016-02-22,34,25-199,STL,,SJS,L,L,2,17,15,.882,0,0,45:14
86,2016-02-25,35,25-202,STL,,NYR,L,L,2,23,21,.913,0,0,59:01
87,2016-02-27,36,25-204,STL,@,NSH,L,L,4,23,19,.826,0,0,35:34
88,2016-02-28,37,25-205,STL,@,CAR,W,W,2,34,32,.941,0,0,59:51
89,2016-03-01,38,25-207,STL,@,OTT,W,W,3,43,40,.930,0,0,65:00
90,2016-03-06,39,25-212,STL,@,MIN,W,W,2,32,30,.938,0,0,60:00
